route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
15655,CMBC,881,CARSON GRAHAM SCHOOL SPECIALS   , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r881.ashx, , 
15656,CMBC,890,BTC OPERATIONAL OVERLOADS, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r890.ashx, , 
15657,CMBC,891,NVT OPERATIONAL OVERLOADS, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r891.ashx, , 
15658,CMBC,892,PCT OVERLOADS, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r892.ashx, , 
15659,CMBC,893,RTC OPERATIONAL OVERLOADS, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r893.ashx, , 
15660,CMBC,894,STC OPERATIONAL OVERLOADS, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r894.ashx, , 
15661,CMBC,895,VTC/OTC OPERATIONAL OVERLOADS, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r895.ashx, , 
15662,CMBC,979,OLYMPIC STN/GRANVILLE ISLAND STN, ,2,http://www.translink.ca/~/media/Route_Files/66/routemap/r979.ashx, , 
15663,SKYT,980,CANADA LINE SKYTRAIN, ,2,http://www.translink.ca/~/media/Route_Files/66/routemap/r980.ashx, , 
15664,SKYT,996,MILLENNIUM SKYTRAIN, ,2,http://www.translink.ca/~/media/Route_Files/66/routemap/r996.ashx, , 
15665,WCEX,997,WEST COAST EXPRESS              , ,2,http://www.translink.ca/~/media/Route_Files/66/routemap/r997.ashx, , 
15666,CMBC,998,SEABUS                          , ,4,http://www.translink.ca/~/media/Route_Files/66/routemap/r998.ashx, , 
15667,SKYT,999,EXPO SKYTRAIN                      , ,2,http://www.translink.ca/~/media/Route_Files/66/routemap/r999.ashx, , 
15668,CMBC,C1,HASTINGS & MACDONALD/KOOTENAY LOOP, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC1.ashx, , 
15669,CMBC,C10,BLUEWATER/SNUG COVE            , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC10.ashx, , 
15670,CMBC,C11,EAGLE CLIFF/SNUG COVE           , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC11.ashx, , 
15671,CMBC,C12,LIONS BAY/CAULFEILD, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC12.ashx, , 
15672,CMBC,C15,INDIAN RVR/DEEP COVE/PHIBBS EXCH, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC15.ashx, , 
15673,CMBC,C19,ALMA/UBC, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC19.ashx, , 
15674,CMBC,C2,CAPITOL HILL/HASTINGS AT GILMORE, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/rC2.ashx, , 
